ID,Tweet,Sentiment
26,"CoronavirusUpdate 38 coronavirus deaths in India, 1,637 positive cases. CoronavirusOutbreak",0
27,Mr Amir Khan should also come speak to fellow Muslims to obey medical necessity to fight Corona.,1
28,ChrisCuomo weeping for us all coronavirus Pray FirstResponders QuarantineLife family faith,1
29,PTI_News: COVID-19 toll in Maharashtra now 12 after death of two more coronavirus positive patients: Health official,0
30,i blame the coronavirus on Wal-Mart no longer being open 24/7. life was good before they implemented their new hours,1
31,N ofcourse theres a Hyperstick right now on ebay for 75 shipped COVID19 fucking up my swag right now,1
32,By the end of this COVID19 crisis Im determined to be able to speak coherent Romanian. Then Im moving on to German with a friend.,0
33,Satellite images show decline in air pollution over Italy amid coronavirus lockdown.,0
34,"What coronavirus is he talking about? The one that's been around for 1,000's of years or Novel COVID19?",1
35,someone threw a corona virus party with 40 people in a 550sft apt with a whole ass dj in there..,0
36,True. Human rights says alot regarding the disposal of the deadbody.! lka COVID19,0
37,Im working on a new blog about how COVID19 is changing collegiate learning. Heres the at-home setup.,0
38,The Coronavirus is a good lesson and reminder that the American people need a new government and a reliable source of information.,0
39,Blue check fakenews CNN talking head angry that Okeefe does actual on-the-ground journalism on covid19,0
40,"Only getting on to say I have had my corona break down, Im not having a good time, and Im ready for it to be over And I miss Bailey",1
41,If anyone can tell corona to fuck off... proceed to do so cause a motha fucka bores out of his mind!!!,1
42,For real though can fsociety or MrRobot wipe out everyones debt during this COVID19 booochet?! Much appreciated yall,1
43,jaejoong baby theres a trend in jp not to spread lies about corona this april first n that includes lying that you have it,1
44,Eugenics George Soros Bill Gates Partner with China on Coronavirus Drug!,0
45,The man says it like it is. Listen to him please. Follow his advice. coronavirus COVID19,0
46,Corona virus ruined my senior year its ok tho Im making the best out of it,0
47,Another year on this earth has gone by and I get to stay inside on my bday because Coronavirus being a hoe :-),0
48,White House predicts 100 000 - 240000 will die in USA from Corona virus.,0
49,1/16 CORONA VIRUS GOD DID IT ?? NATURAL EVIL GOD DID IT?? JESUS HAND WASHING?,0
50,I forsee a Real Race War in South Africa after this coronavirus. People's eyes and minds have been reconcietised.,0
51,"Breaking FoxNews Alert : Coronavirus death toll in US reaches 4,000",0
52,"We need a stark reminder of the COVID19 challenges out there, we need to wake up and do better. 1/4",0
53,HERO OF THE TIME MURAD ALI SHAH PLEASE CHECK INCREASE IN THE CORONA VIRUS CASES YOU HAVE LEFT PUNJAB BEHIND BEST PERFORMANCE,1
54,News updates from Hindustan Times at 9 AM: Coronavirus death rate lower than estimates: Study and all the latest news at this hour,0
55,"8,50,000 corona cases :( Numbers keep on increasing COVID19",1
56,Meanwhile your Jeffrey Dahmer on steroids aka was doing sh*t all about COVID-19.,1
57,so long as there be diagnostics of coronavirus all vital opportunities of sectors cease Illuminatti,0
58,please STOP LEAVING YOUR HOUSES AND TAKING THIS CORONAVIRUS STUFF AS A JOKE AND KEEP GOING OUT WITH FRIENDS AND STUFF SERIOUSLY,1
59,DANG!!! I officially know someone that has tested positive for corona virus OML,1
60,Were going through some biblical grade end-of-times shit rn. COVID19 IdahoEarthquake LocustInvasion,1
61,"31 March 2020 Confirmed: 75,122 Deaths: 4,525 coronavirus",0
62,Ur Director a TOTAL IGNORANT that missled the world ABOUT CHINA'S CORONA VIRUS! IS KILLING 000's WORLDWIDE! fired the incompetent!,1
63,"Chris, this is no time to get sick. Come on man, kill the Corona and come back on screen. Hurry up. BEST.",0
64,How cavalier politicians can be with people's property in the unfettered competition for the credit for saving their lives. coronavirus,1
65,Covid19 lockdown situation is like our own 'existential crisis' hanging over our heads.. PMKcallsCurfewExtension,0
66,One things for sure: Corona Virus has been really good for the environment.,0
67,I was supposed to go to Europe this fucking June and fucking corona took a big shit on my trip. Oh my god,1
68,"Welcome to April, I hope this will get better soon, Covid19 soon disappear from the earth.",0
69,bhilwara-has-become-a-global-role-model-by-breaking-the-corona-chain-with-efforts-made-by-the-state-government,0
70,"Asuma White House projects 120,000-240,000 coronavirus deaths in the US......",0
71,"busy busy busy, so many things to do, pandemics create work. no doubt COVID19 DigDigDig FundsFundsFuns",0
72,What do COVID19 and have in common? With no remorse theyll take your last breath or last dime.,1
73,In what world do you think making a joke for April fool about the coronavirus is OK???,1
74,Is there any e-commerce / delivery service working in Delhi for food items ? COVID19 CurfewInIndia Delhi,0
75,Thank god coronavirus hasnt stopped new K-pop,0
76,WHY ARE U USING COVID19 AS EXCUSE TO NOT GIVE SCHEDULE TO GOT7 WHEN OTHER GROUPS CAN???????,0
77,More free time bc corona and I STILL cant seem to figure out how to respond to ppl on bumble. I NEED HELP.,0
78,Deaths in Kenya: Coronavirus 1 : 2 Curfew to protect against spread of COVID19,0
79,"Corona has killed 1,the police already killed more than 2,.. And we call it prevention",1
80,Sigh. So from 1 to 224 within one month. Its been a long month. March 2020. coronavirushawaii,1
81,"Remember also not to touch your face in places like mouth, nose qnd eyes since corona virus enters the body via those parts jumiaheroes",0
82,Coronavirus cant kill Gods amazing sunsets every night !!,0
83,This is why I never made children...too much is wrong with this world Covid19 climatechange climatejustice cometaAtlas,1
84,This kills me...If I have to get tested for COVID19 Im gonna asked to be put to sleep...Im serious.,1
85,"In between depressing CoronaVirus news, this was such an uplifting tweet! Welcome back Stabler!!! DUNDUN",0
86,Mile 12 Market will remain open. Farmers can still supply their fresh produce - COVID19 Mile12Market,0
87,"Judiciary is biased, impressed by anti Hindu, anti National media. Also Jail is not safe for prevention of corona. CoronaRiskForPrisoners",1
88,"the ministry of health, labor, and welfare sent me a survey on LINE to see if i might have coronavirus",0
89,"106 new confirmed case(s) in Austria totaling 10,298 in this place. Already 860,035 worldwide. coronavirus covid19 Austria",0
90,2020 sucks. Is there any good news? Anything good happening? Anything at all? coronavirus CODVID19 QuarantineLife,0
91,speaking of my daddy were probably not meeting in may because of stupid corona :(,1
92,Corona virus is helping the environment - Air on Earth is now getting cleaner,0
93,"CoronaVirus must be Fought by everyone collectively ,not by deviding us on Religious line Muslims Islam",1
94,Today was okay I feel good about myself but the corona virus and job searching is really hard for my mental health,1
95,. colleagues talk about human rights-based responses to COVID19.,0
96,The biggest coronavirus fails right now are the USA UK governments.,0
97,Florida and Texas (among others) need to start to act NOW. coronavirus CoronaUpdate,0
98,It's called Islamic Corona jehad tablike jamat making full to all India during lockdown they are relizius terurrist,1
99,Dis Corona of a tin na scam oo na competition country dey do o any country with the highest Corona cases world bank go give Dem money,0
100,on CNN Cuomo--economic expert Alexis Glick talks financial--the difficulties Americans are experiencing b/c of Coronavirus,0
101,Is it me or they just sitting back letting the corona cases deaths rack up ?,1
102,it's 7:39p and i feel like i just woke up 2 hours ago :') i hate it here .... can this coronavirus just go away :(,1
103,"Every state, county, city and neighborhood has this coming at them. Yet many still wait to act COVID19US",1
104,Once again PLEASE be careful and be safe especially with the coronavirus going around!,1
105,Do not use twitter for nothing. Pl Focus on CORONA VIRUS Help Needy citizens Peace Peace Peace,0
106,Just talked to my doctor friend and apparently the number one way to get the coronavirus is from tainted toilette paper. So thank you karma.,1
107,Are you being sarcastic? Trudeau gov disaster Liars Trudeau gov allowed coronavirus to spread in Canada.,1
108,Corona patient recovered at a private hospital. His employer footed the bill of Rs 12 lakh.,0
109,March has come and passed COVID-19 seems to forever last Wake me up when April ends covid19 COVID greenday,0
110,I miss singing my heart out at church every Sunday :( corona GO AWAY,1
111,It's come to my attention those on AusStudy don't qualify for the Coronavirus supplement for each fortnight. Students bent over again,0
112,Covid19 please end soon as possible i wanna meet my bebe and my family,1
113,This was is a hell of a way to kick off the NewDecade FactsMatter COVID19 TrumpIsAVirus TrumpLiesPeopleDie AllInThisTogether,0
114,Happy April fools yall Please stay safe and be sensitive to the situation- Aka dont make any COVID19 jokes,1
115,"Does anyone know if Russia, Syria or North Korea has the corona virus? Not hearing anything at all about those countries.",0
116,"240,000 will die from the coronavirus IF were lucky. IF. Think about that!",0
117,if i have to hear the word corona one mo time im beating somebody ass,1
118,"Giliran corona, harga hotel murce2. Pen staycations aing",1
119,Just spoke with a doctor. Another confirmation that we have a cure for the Coronavirus. 100% effective,0
120,COVID19Pakistan: Ulemas asked to abide by governments coronavirus-related instructions . LockDownPakisan,0
121,"So apparently over 710,000 people die from the corona bars thats some crazy stuff right",0
122,some people are dumb acting stupid because corona cant easily kills young adult huh?,1
123,my twang is getting so fucking bad we need to cure corona immediately so i can stop hanging out with my family im begging,1
124,This corona virus pandemic is going to leave more people bankrupt than dead.,1
125,"Keep your mask close, keep your sanitizers closer. Mario Puzo Covid19",0
126,I wish to make a cash donation to help stop the speed of corona virus. How may I do that please,0
127,How much longer til life goes back to Normal from COVID-19? coronavirus,1
128,I really dont think it's appropriate to joke about corona at a time like this,1
129,China and made the whole world AprilFools through their false reports of no COVID19 spread in December/January.,0
130,cc: and all the morons who support her peddling of a drug untested to fight COVID-19.,1
131,How are we supposed to know we are sick..more complex things to come.. COVID19,1
132,Every nurse/medical professional on the frontlines of the COVID19 crisis should be getting hazard pay. Its crazy that so many are not.,0
133,can groundhogs get coronavirus I am worried about Gus the second most famous ground hog in pennsylvania,1
134,Next year in Jerusalem - with homemade gelfite fish and a world that has a Coronavirus vaccine.,0
135,well its officially april 1st and no one has come out and said this whole corona thing is a joke,0
136,BREAKING: Tablighi Jamat donates 2100 Coronavirus patients to PM Relief Fund.,0
137,No April fools day here. 2 work colleagues have died from this Coronavirus. It aint no joke. RIP,1
138,Have I mentioned how infectious this virus is? 1/3 of this nursing homes residents died of COVID19,0
139,"RIP to the 200,000 beautiful souls that were already taken by the coronavirus P L E A S E stayhome SocialDistance SixFeet",1
140,Checkout page he has good content and raw footage on his Twitter page. coronavirus COVID19,0
141,Corona anxiety is real... 1 more month jobless in my house coronavirus chicago,1
142,Feku must be so enjoying himself. Others doing all the work while he gets to amass crores in the name of covid19.,0
143,I saw the segment about Trumps administration purchasing monkeys to test COVID19 treatments. Do you have any sources?,0
144,"Happy new month to you all, may dis new month drive Corona away. staysave stay",0
145,"I swear if there is a single joke tomorrow about corona virus, sports being back, or quarantine",1
146,Everyone telling people that you got the Coronavirus just to say April fools I hope you get hit by a fucking car,1
147,"Coronavirus: U.S. doctors, nurses overseas desperate to come home as borders close",0
148,"march saw the US coronavirus cases go from 42 to 182,000",0
149,my package is coming from ny so basically im gonna get corona,1
150,What a year... Kobe dies in a helicopter crash and it isnt even the biggest news headline in Los Angeles in Q1 COVID19,0
151,I hope people will start acting with a sense of urgency and restraint COVID19,0
152,oopsies Lakeland just decided to reopen parks as if the coronavirus isnt already fucking us completely (:,0
153,After Human now a four-year-old female Malayan Tiger at the Bronx Zoo of New York has tested positive for the coronavirus.,0
154,"S. KOREA REPORTS 101 MORE CASES OF NEW CORONAVIRUS, TOTAL NOW AT 9,887 EA First Squawk Roboinfo0.120 Robotex group",0
155,Alright this corona shit got serious now ima stay my ass home no more Sunday funday,1
156,"Dear COVID19, enough messing around.. not scared of you at all but you better not ruin my Ramadan, fasts and tarawihs!",1
157,Until dey tell you say omo that guy duru don die dey day corona kill am...and you am bn chill last week.. stay,1
158,Hey you really trumped up the coronavirus response. We are all trumped. Everything smells like trump.,1
159,The elites are afraid of the corona virus they brought. The citizens are afraid of the hunger deliberately created by the elites.,0
160,Sloth's Wednesday Slow-Poll: What's your greatest fear of the Corona aftermath (comment for others):,0
161,Worry about the Coronavirus please!,0
162,Turns out that the is the real death panel. Bunch of degenerates. coronavirus TrumpVirus,1
163,Corona virus media/govt conspiracy porn will be the next 9/11 truther movement. With more plausibility too .,0
164,Shoutout to for making the coronavirus testing so easy. Eli Lilly is so complicated,1
165,"the world wants to know why you've thrown florida under the bus, what is your goal? covid19",0
166,"I dont understand the people saying Coronavirus is just the flu. If youre one of these people, please explain",1
167,Leave it to Republicans to find new ways to kill Americans within a pandemic. Coronavirus GOPdepravity,1
168,"Covid19 shall not see our end, we shall see the end of covid19!! ~Psalm 118:17 Happy New Month y'all",0
169,I pray that this P200-B will really reach the poor. covid19 pray PrayForPhilippines,1
170,Jeff Grosso passed away from complications of the coronavirus today,1
171,Tested positive for being fucking sick of corona break and not getting rowdy w the boys,1
172,hasnt got a clue Jesus Christ. Ally his contradicting information is nuts COVID19 gmb,1
173,APRIL IS FINALLY HERE GUYS... Happy New Month Everyone... Stay Corona-Free Protect your loved ones... AprilFoolsDay,1
174,First death of corona from U.P:a mistake of family threatened by hundreds,0
175,"The Democrats are politicizing the coronavirus . . . [T]his is their new hoax. - Donald Trump, February 28, 2020",0
176,am I the only one whos more worried about Yellowstone erupting after that 6.5 earthquake in Idaho instead of the corona virus,0
177,6.5 quake in Idaho. 400 miles from Yellowstone Caldera. supervolcano COVID19,0
178,coronavirus-more-then-4000-cases-in-pakistan-doctors-strike-end-now,0
179,Could that be why Italy had the highest coronavirus deaths outside of China?,0
180,they need to bring Corona Fest back for my sanity,1
181,Stay at home. COVID19 Update: Country: Channel Islands Total Cases: 335 Total Deaths: 7 Total Recovered: 34 Total Active Cases: 294,0
182,I think I had Covid-19 back in January. I want those antibody tests! HerdImmunity antibodytest coronavirus COVID19 COVID19,1
183,"Randal L. Stephenson, CEO of . doesnt want Americans to hear directly from the Coronavirus Task Force.",0
184,JohnsonJohnson $JNJ said it made progress on a vaccine for Covid_19 and that the product could be ready early 2021 - WSJ,0
185,It's gonna be a great month I'm speaking it into existence regardless of the Corona disaster,0
186,April wish corona disappears and the world soon gets better,1
187,YAY CNN! Way to go! (airing the informative sections of the COVID19 daily briefings) Thank you!,0
188,When this corona shit over I need to spend more time with my niggas. Those dudes my family too.,0
189,Corona +ve cases reached 58 in A.P StayHomeStaySafe Covid19India,0
190,Toronto- For a Joker and Stupid Imran Khan- READ CANADIAN MEDICAL REPORT- 90% Corona Virus Cases in their 30s and 40s.,0
191,what is that man talking about Corona is not just spread in leasure time.....Most countryside cutting services not putting more on OMG,1
192,I have a serious question does anyone personally know someone whos DIED from coronavirus cuz I sure as hell dont,1
193,"WAIT WHAT....IT SAID THAT KIM JAEJOONG GOT POSITIVE CORONA VIRUS? IS IT APRIL MOOP, ISN'T IT? omg",1
194,Shout out to !!! I truly respect the way youre leading NY through this crisis!!! COVID19,0
195,Prayers and my condolences go out to all the people who have lost a loved one due to the coronavirus,1
196,Trump warns Americans of a tough two weeks ahead in coronavirus fight US RTGNews,0
197,Maybe the biggest blessing in this Coronavirus is that its making us all understand what we take for granted.,0
198,Dr Anbumani says lockdown is the only way to combat the Coronavirus outbreak. PMKcallsCurfewExtension,0
199,Corona virus got me stuck in the house with these kids. And Im thinking ... maybe these kids aint that bad,0
200,In UK todayCases 3009 (-3009) to 0 todayDeaths 381 (-381) to 0 COVID19Aus COVID19,0
201,"Corona control - encourage cottage industries, to restrict people to their homes",0
202,Starting tomorrow we get a full month of 4/20 but no smoking buddies cause of corona tf kinda shit is this man,1
203,Once this coronavirus is over I refuse to stay indoors. Ive done that part for my summer holidays Im ready to be out erryday.,0
204,I have not watched not 1 news channel about the Corona. My mama updates me on this shit. Shit getting annoying,1
205,my diet now consists of nachos and I havent showered in 2 days coronavirus,0
206,What if trump didnt act on covid19 fast enough just so it can pause the election and we get another year of him?,1
207,been feelin a lot like a coronavirus patient lately the way im sick as hell,1
208,Juuls were introduced to weaken the immune systems of teenagers making them more susceptible to the planned covid19 outbreak.,1
209,Corona Token InvestBox daily percent C = (amount of Corona buy orders) / 10. Max percent = 10% / day,0
210,how come Sam Winnall was tested for covid19 when he wasnt showing any symptoms? I do wish him a speedy recovery!,0
211,always love customers learned to protect themselves but refused to protect us from COVID19 - A front line customer services worker,1
212,Tomorrow is April fools day. Them Corona virus pranks are NOT the move.,1
213,Ap Total corona cases. :-87 12 hour's lo :-43 cases Feelings : Gajagaja COVID19,1
214,fuck im out of job bc of the corona what do you mean theres going to be physical album for the op ;;,1
215,"I have been afraid/terrified since January 20, 2017. WorstPresidentEver NoRespectForDonaldTrump coronavirus",1
216,more and more J release dates being pushed back...thnx Corona,1
217,A Binational Security State will be implemented through Operation Blackout and the use of Coronavirus,0
218,Not sure if its corona virus or my dab pen making my throat itch,1
219,"sir, I hope, I can stop spreading killing of corona virus. I need your help.,,,,,,DR KUMARIL",0
220,"Bei pls stop rting that corona virus test on my TL, i on my knees begging",1
221,McConnell says Trump impeachment trial 'diverted the attention' of the government as coronavirus entered US. Eat. Penguin. Shit.,0
222,Everyone get their Corona Virus is just a big April Fools joke out right now so that we dont have to see them all tomorrow. Pls.,1
223,"CoronavirusInSA Gauteng has recorded the first COVID19 death, with the mortality rate here in South Africa edging up to 0.37%.",0
224,ERIC CLAPTON BONNIE RAITT DEAD AT 74 MRS ERIC CLAPTON ME BONNIE ME CORONA VIRUS MAYBE NOT SURE NOW GUARDIAN ANGELS CRYING,1
225,This is actually worrisome! Please take care Ahmedabad CoronaUpdatesInIndia,1
226,Arseholes running and cycling on the prom in Salthill again absolute gobshites coronavirus,1
227,Shame on Godi media...They are more dangerous than Corona virus. _,1
228,"US breaks its one-day record for Covid-19 deaths, reporting 865 fatalities Johns Hopkins University.. USA.. coronavirus..",0
229,"1 new confirmed case(s) in Hong Kong totaling 715 in this place. Already 858,127 worldwide. coronavirus covid19 HongKong",0
230,Y'all really had the nerve to say Black ppl don't get coronavirus. Smfh.,1
231,Great commentary with lot of details to understand civic19. COVID19 CoronaKoDhona,0
232,"I have not been sharing corona posts, but I think this is worth the read! Stay home and pray people!!!",0
233,Anyone else think about how many times a day we probably encounter/pass an actual Corona virus and we don't know it?,1
234,May god save us from the stupid people spreading corona IndiaTrustsPmModi IndiaFightsCoronavirus IndiaFightsCorona,1
235,"Off to read a book in bed. Blog post tomorrow - how early depends on my kid, really - comparing some civic COVID19 responses.",0
236,Healthcare professionals did not have to die if the government did its job of handling the COVID19 situation. Its just...sad,1
237,I request to all people of india to stay at home and fight with corona virus.,0
238,Corona virus now an earthquake... if the world is gonna end like this I might as well text me ex,1
239,Toxic relationships Coronavirus Not letting us leave the house,0
240,Expose this corrupt system that leaves 99% of the population in 3rd world conditions. COVID19,1
241,Yo can someone just like kill this corona dude so I can see my girlfriend already?,1
242,I wish Covid19 is just an April fools day prank. Itd really be a happy april fools day.,0
243,i better not see one fake piece of corona news on this app when i wake up,1
244,What if healthcare workers went on strike? It is far more dangerous to go to work where there is a concentration of people with Coronavirus,1
245,Yall forgot about Nipsey just like yall forgot about DRE. yeah I got time today CoronaVirus,0
246,All i want on my period is only my boyfie but this fcking corona annoyingly send me to da hell,1
247,Dont go outside because lets face it no one can afford the cost of treatment for Coronavirus,1
248,If only we could wake up in the morning n coronavirus was all an April fools joke:((,1
249,my bf and i are listing food places to hit up once this corona epidemic is over wewanttoeatout,1
250,"Coronavirus: Trump warns US headed for 'very, very painful two weeks'",0
251,Excited to present on Legal Tips to Combat COVID19 Imapcts in this webinar hosted by,0
252,"I'll say it again, good work ! This is LEADERSHIP in the MEDIA!! MembersOfThePressWTF COVID19 VoteBlue2020",0
253,I don't think FF7R is shipping early in Japan. Coronavirus hasn't really hit us here (yet) and life has pretty much continued on as usual.,1
254,Personally Id rather die from the coronavirus than willingly give up freedom,0
255,Very interesting piece in Greeces handling of the COVID-19 crisis . I hope they will stay vigilant though.,0
256,why France was ready to shut border had Britain not toughened coronavirus measures,0
257,This corona shit really got me all types of fucked up I thought it was all jokes...hell no,1
258,"152 doctors, 63 nurses nagpositive sa covid19",0
259,We aren't inspired by your horrible leadership. Corona spread because you tried to be a hero. QUIT!,1
260,Fam I was fr crying ALLLLLL day yesterday Get piped today n now I feel unstoppable. No depression at all. Finna cure corona virus real quick,1
261,How do anti-vaxxers feel about the development of a coronavirus vaccine?,0
262,"With 3 More Positive Cases ,Total Number of Positive Cases in JK For Today Is 14 139 in Total 139 Covid19",0
263,"Breaking: US deaths from coronavirus have now passed 4,000, according to the John Hopkins tracker.",0
264,Scary! NYT says that the world could remain on a kind of indefinite lockdown until a vaccine or treatment of COVID19 is found.,1
265,wish I had fuckin wine at home or corona wasnt taking all my money so I could buy some!!!!!!,1
266,i cant wait until this whole coronavirus shit fucking ends man. it got my grandma and now shes gone. ive had enough,1
267,Delhi: A doctor working at a Delhi government hospital has tested positive for COVID19. CoronaVirusUpdates india,0
268,"Jesus, Jenrick the next layer of cannon fodder put forward. If he says we will improve that in the coming weeks.... once more. COVID19",1
269,"So mad i moved right when all this corona mess started, i cant even shop how i want to",1
270,"As its April fools day please dont say you have corona virus as a joke, because having corona virus isnt funny",1
271,Close Boarder No Give Us Food No Give us Money No Covid19 Don Enter Delta State. E don Red for us.,1
272,I hope alot of them are included. Has Jr been tested or Steve Bannon or Stephen Miller. Coronavirus,1
273,Im so tired of the corona conspiracy theories! Can we just stay home and fucken survive please?,1
274,One More Postive Case From Ludhiana. Total Number Of Postive Cases In Punjab Now 42. CoronaVirus coronaupdatespunjab,0
275,Im just ignoring the outright psychopathy on anything corona coming from the WH right now,0
276,Are we ever gonna find out if the kids in the spring break video caught Coronavirus?,0
277,Seriously hope that Bezos and his children die a horribly painful coronavirus death!,1
278,Those increasing numbers of the coronavirus outbreaks in USA some European and English speaking countries are FAKE. covid19 liar,0
279,Corona virus has detected more illegal citizens than NRC...thanks to Markaz circus,1
280,"20200331: NP : Coronavirus updates: Globally, one in five people with COVID-19 is American",0
281,Theres a korean idol joking about corona? Are they f*cking okay?,1
282,My latest for Madison365. Now we wait for both election results and a spike in coronavirus infections.,0
283,"Dear CORONA, please go away so I can see him may 2nd :( please and thank you",1
284,This is real! Please be careful and protect yourselves. We joke and make fun but I had a friend die today Coronavirus,1
285,when u feel the slightest bit of a cold and now ur wondering if u have corona :/,0
286,Stay at home. COVID19 Update: Country: Colombia Total Cases: 906 Total Deaths: 16 Total Recovered: 31 Total Active Cases: 859,0
287,"**CoVid19 PSA** However seriously youre taking CoVid19 right now, take this thread even more seriously.",1
288,Fears grow over a coronavirus pandemic in Gaza amid Israeli siege. Via: SaveGazaFromCorona SiegeIsEpidemic,0
289,+++ and also in Supermarkets and Shopping Malls .... why not in ? +++ very sad COVID19,1
290,it's april fool's day. how many youtubers pull a coronavirus prank on their loved ones today?,0
291,We must through many tribulations enter the kingdom of God Acts 14:22 No surprises for God's people COVID19 WednesdayWisdom JesusSaves,0
292,"Saw the visuals of how they test people to see if the have Corona, and suddenly Im having trouble breathing. What is this God ?",1
293,Where are those 9ja artists buying iced chains and wristwatches worth millions? They are all quiet during this COVID19 season..,1
294,I hope someone is able to pinpoint amazon for Coronavirus spread and sue the brakes off they ass a greedy mofo smh,1
295,BREAKING NEWS: The MLB is suspending their whole 2020 season due to the Coronavirus,0
296,"A nimble comparison of Covid_19, Influenza, and a blockhead. Thx Ms. Victoria for sharing.",0
297,Somebody help me understand... HOW ARE THEY PREDICTING A SECOND WAVE OF THE CORONA VIRUS... and they havent controlled the first one?,1
298,Gross negligence. Contain them and let them die. They didn't care why should we. TablighiJamaat CoronaJihaad,0
299,"I live in a town of 5,000 people and we just had our first case of COVID19.",0
300,Premier John Horgan announces he is extending the State of Emergency in B.C. COVID19 covid19Canada COVID19BC Coronavirus,0
301,Trump sobers up. Admits next 2 weeks are going to be painful. coronavirus,0
302,"after we are done with Corona we must re-visit, tunapanga KENYA minus BBI nonsense.",0
303,my cousin is getting tested for corona today guys pls pray for her,1
304,Great job trump. You want to be 1 and you are on track to have the highest covid numbers in the Coronavirus,1
305,Aspen really sent out an email saying dont forget rents due tomorrow WELL I LOST MY JOB BC OF CORONA SO SAY APRIL FOOLS RN,1
306,"my sister really said i went on vacation, vacation was good then i came back and there was corona virus she's 4.....",1
307,Im throwing a big ass cookout when this Corona shid is out the way,0
308,I know this coronavirus shit sucks rn but honestly being stuck inside for a whole month of 4/20 doesnt sound awful,1
309,Breaking: 14 tested positive for corona virus today in JK.. Total positive cases stands at 139,0
310,When will China admit the whole Corona virus thing came out of a Wuhan laboratory!,1
311,I was gonna rant and then I deleted a whole thread about this corona shit. Im over it.,1
312,"There have been at least 811 new Coronavirus deaths reported in the US on Tuesday, according to a count from CNN Health.",0
313,hey Doc. Can you get COVID-19 if you had previously a different type of corona virus in the past? Thanks!,0
314,Wuhan Chinese virus spread Not spread Shanghai and other Chinese Area. Yes. Chinese corona weapon,1
315,my sister's coworker just tested postive for corona and they work together.. what the fuck,1
316,Gov.Justice and state officials will hold a daily press briefing on COVID-19 at 1 PM. coronavirus COVID19 WV,0
317,Praying today that we find out this whole thing about Coronavirus was for April fools!,0
318,"Im going to need some good coronavirus news, reply to this tweet with any positives right now COVID19 coronavirus COVID19",0
319,"Breaking FoxNews Alert : WATCH LIVE: Trump, coronavirus task force explain updated guidelines at WH briefing",0
320,Like 911 forever changed us so will COVID19 We now understand we only have so much control...,0
321,"200,000 people in the US have died from the coronavirus? Last time I checked, we are getting ahead of ourselves...",1
322,How come weve had the most cases of corona I dont see not one person out sanitizing shit.,1
323,Thank you so much for this UAE! indeed an answered prayer coronavirus Covid_19,0
324,My mentor is out there fighting coronavirus in Detroit hospitals and I dont think Ive ever been prouder,0
325,Yall I need to go to therapy and I cant cause of this coronavirus shit and I wish I could access it online and I cant,1
326,"I heard that there was a fire by the Bronx Lebanon hospital, can someone confirm that? coronavirus NewYorkCity",1
327,"Perhaps the president missed the mark by a bit, given he know says the Coronavirus will wipeout 100-200K Americans?",1
328,"LosAngeles shot up to 3,000 coronavirus cases in less than a week, because people refuse to stay home.",0
329,2 of my family members have passed away from covid19 and i still see mad people hanging out outside? fuck yall honestly,1
330,I see theyre still spreading the Coronavirus to each other! SocialDistancing Nigeria COVID COVID19 health,1
331,Oh my god John McCain died? Did he die of corona?! -,0
